[236389] ['2/9', '2/7', '1/2', '1', '5/2'] -> (5/2 + 1 / 2/9) / 2/7 - 1/2
[244653] ['1/5', '4/7', '6/5', '3/2', '2'] -> 2 * (3/2 + 6/5 / (1/5 * 4/7))
[244654] ['7/5', '8/5', '9/5', '7/2', '9'] -> 8/5 + 7/2 * (7/5 + 9 / 9/5)
[244655] ['9/7', '8/5', '5/3', '9/5', '5'] -> 9/7 * (5/3 + 5 * (8/5 + 9/5))
[244656] ['6/7', '6/5', '2', '5/2', '5/2'] -> 2 / (6/5 * 5/2 - 5/2 / 6/7)
[244657] ['2/7', '2/7', '4/9', '5/6', '3'] -> ((2/7 + 3) / 2/7 - 5/6) / 4/9
[244658] ['1/5', '4/7', '6/5', '8/5', '2'] -> 6/5 / (2 - (8/5 + 1/5 / 4/7))
[244659] ['1/4', '1/3', '3/5', '1', '7/2'] -> 7/2 / (1/4 * 3/5) - (1/3 - 1)
[244660] ['2/5', '4/7', '5/6', '5/6', '8'] -> (5/6 + 5/6) * (2/5 + 8 / 4/7)
[244661] ['6/7', '6/5', '2', '5/2', '8/3'] -> (2 + 8/3) * 5/2 * (6/7 + 6/5)
[244662] ['7/5', '8/5', '9/4', '9/4', '9'] -> (7/5 + 8/5) * (9 - 9/4 / 9/4)
[244663] ['4/9', '5/9', '3/5', '7/2', '7'] -> (5/9 + 7 / 3/5) / 4/9 - 7/2
[244664] ['1/4', '1/3', '3/5', '1', '9/2'] -> (1 / 3/5 - 1/3) * 9/2 / 1/4
[244665] ['1/5', '4/7', '6/5', '5/3', '2'] -> 2 / ((6/5 - 1/5) / 4/7 - 5/3)
[244666] ['6/5', '5/2', '8/3', '7/2', '8'] -> (5/2 + 7/2) * (8 / 6/5 - 8/3)
[244667] ['2/9', '1/4', '3/8', '9/7', '6'] -> (1/4 / 3/8 + 6 / 9/7) / 2/9
[244668] ['9/7', '8/5', '5/3', '5/2', '5'] -> 5/3 / (5/2 - 5 / (9/7 * 8/5))
[244669] ['7/5', '8/5', '9/4', '7/2', '9'] -> 9 / (7/2 - (9/4 + 7/5 / 8/5))
[244670] ['1/8', '2/3', '6/7', '7/6', '9'] -> (6/7 * 7/6 - 2/3) * 9 / 1/8
[244671] ['6/5', '8/3', '8/3', '8/3', '8'] -> (8/3 + 8) / (8/3 - 8/3 / 6/5)
[244672] ['6/7', '6/5', '2', '8/3', '8/3'] -> 8/3 / (2 / 6/7 - 8/3 / 6/5)
[244673] ['9/7', '8/5', '5/3', '8/3', '5'] -> 9/7 * 8/5 * (8/3 * 5 - 5/3)
[244674] ['2/7', '2/7', '4/9', '8/9', '3'] -> (2/7 + 8/9 / 4/9) * 3 / 2/7
[244675] ['2/9', '2/5', '7/9', '1', '8/5'] -> (8/5 + (7/9 + 1) / 2/9) / 2/5
[244676] ['4/9', '5/9', '5/8', '5/7', '7'] -> 7 / (4/9 + 5/8 - 5/9 / 5/7)
[244677] ['1/9', '2/9', '3/2', '8/5', '2'] -> (2 - 2/9 * 3/2) * 8/5 / 1/9
[244678] ['6/5', '8/3', '8/3', '9/2', '8'] -> 6/5 * 8/3 * (9/2 + 8 / 8/3)
[244679] ['1/6', '2/3', '4/5', '8/7', '7'] -> 8/7 / (1/6 - 2/3 / 4/5 *
)[244680] ['6/7', '6/5', '2', '8/3', '9/2'] -> (6/7 + 6/5) * (8/3 + 2 * 9/2)
[244681] ['7/5', '8/5', '9/2', '9/2', '9'] -> (7/5 + 8/5) * (9 - 9/2 / 9/2)
[244682] ['1/4', '1/3', '5/8', '1', '8/7'] -> 1 / (8/7 * (1/4 + 1/3) - 5/8)
[244683] ['1/8', '2/3', '6/7', '5/4', '9'] -> 9 / (6/7 * (5/4 - 2/3) - 1/8)
[244684] ['1/7', '1', '3/2', '9/4', '7/3'] -> 3/2 / 9/4 + (1 + 7/3) / 1/7
[244685] ['2/7', '2/7', '4/9', '8/7', '3'] -> (8/7 / 4/9 - 2/7) * 3 / 2/7
[244686] ['6/5', '8/3', '7/2', '7/2', '8'] -> 8 * (7/2 / (7/2 - 8/3) - 6/5)
[244687] ['7/5', '5/3', '5/3', '5/3', '9'] -> (5/3 + 9) / (5/3 * (5/3 - 7/5))
[244688] ['1/6', '2/3', '4/5', '5/4', '7'] -> (7 - 4/5 * 5/4) * 2/3 / 1/6
[244689] ['1/7', '1', '3/2', '9/4', '8/3'] -> 1 / 8/3 + 9/4 * 3/2 / 1/7
[244690] ['1/4', '1/3', '5/8', '1', '6/5'] -> (6/5 + 1 / (1/3 * 5/8)) / 1/4
[244691] ['1/5', '4/7', '6/5', '2', '7/3'] -> (7/3 * (4/7 + 2) - 6/5) / 1/5
[244692] ['6/7', '6/5', '2', '9/2', '9/2'] -> 9/2 / (9/2 / (6/7 + 6/5) - 2)
[244693] ['5/9', '5/9', '7/9', '9/8', '6'] -> (6 / (9/8 * (5/9 / 5/9)) - 7/9))
[244694] ['7/5', '5/3', '5/3', '7/4', '9'] -> (5/3 + 5/3) * 9 * 7/5 / 7/4
[244695] ['6/5', '7/2', '7/2', '7/2', '8'] -> 6/5 * 8 * (7/2 - 7/2 / 7/2)
[244696] ['6/7', '5/4', '5/4', '5/4', '2'] -> 2 / (5/4 - 5/4 / (6/7 * 5/4))
[244697] ['4/9', '5/9', '5/8', '9/8', '7'] -> 7 / (9/8 - (5/9 + 4/9 * 5/8))
[244698] ['5/4', '5/4', '5/4', '5/4', '8'] -> (5/4 + 5/4 + 5/4) * 8 / 5/4
[244699] ['4/9', '5/9', '5/8', '8/7', '7'] -> (8/7 + 4/9 + 5/9) * 7 / 5/8
[244700] ['2/5', '4/7', '5/6', '3/2', '8'] -> (8 / (4/7 * (5/6 / 2/5)) - 3/2))
[244701] ['7/5', '5/3', '5/3', '5/2', '9'] -> 7/5 * 5/2 * (9 - 5/3) - 5/3
[244702] ['1/9', '2/9', '8/5', '2', '9/2'] -> 9/2 / (2/9 - 1/9 / 8/5 *
)[244703] ['9/7', '8/5', '7/4', '8/3', '5'] -> 9/7 * 7/4 * (8/3 + 8/5 * 5)
[244704] ['5/4', '5/4', '5/4', '7/5', '8'] -> 5/4 * 8 * (7/5 + 5/4 / 5/4)
[244705] ['2/7', '2/7', '4/9', '4/3', '3'] -> 3 / (2/7 - 2/7 / (4/9 + 4/3))
[244706] ['1/6', '2/3', '4/5', '9/4', '7'] -> 2/3 + 7 / (9/4 * 1/6 * 4/5)
[244707] ['1/8', '2/3', '6/7', '5/3', '9'] -> (9 / (2/3 + 5/3) - 6/7) / 1/8
[244708] ['1/7', '1', '3/2', '7/3', '8/3'] -> (1 + (7/3 + 8/3) / 1/7) / 3/2
[244709] ['2/5', '4/7', '5/6', '8/5', '8'] -> 8 / (4/7 * (5/6 - 2/5 / 8/5))
[244710] ['1/4', '1/3', '2/3', '5/7', '1'] -> (1/3 / (5/7 - 2/3) - 1) / 1/4
[244711] ['1/8', '2/3', '6/7', '7/4', '9'] -> (6/7 - 2/3) * 9 * 7/4 / 1/8
[244712] ['1/9', '2/9', '5/3', '7/4', '2'] -> 2 * 7/4 / 1/9 - 5/3 / 2/9
[244713] ['2/5', '4/7', '5/6', '5/3', '8'] -> 8 / (5/3 * 2/5 / 4/7 - 5/6)
[244714] ['4/9', '5/9', '5/8', '6/5', '7'] -> 7 / (5/9 - 4/9 * 5/8) - 6/5
[244715] ['1/7', '1', '3/2', '7/3', '7/2'] -> (3/2 + (1 + 7/2) / 7/3) / 1/7
[244716] ['1/4', '1/3', '2/3', '4/5', '1'] -> 1 / (1/3 / 4/5 - 1/4 / 2/3)
[244717] ['5/9', '5/9', '7/9', '4/3', '6'] -> 4/3 * 6 / (5/9 + 5/9 - 7/9)
[244718] ['5/4', '5/4', '5/4', '7/3', '8'] -> 8 / (7/3 - (5/4 + 5/4) / 5/4)
[244719] ['7/5', '5/3', '7/4', '7/3', '9'] -> (7/3 + 7/5 * 5/3) * 9 / 7/4
[244720] ['1/4', '1/3', '2/3', '6/7', '1'] -> 1 / (2/3 - (1/3 + 1/4 / 6/7))
[244721] ['2/5', '4/7', '5/6', '9/5', '8'] -> (9/5 + 2/5 / 4/7) * 8 / 5/6
[244722] ['2/7', '2/7', '4/9', '3/2', '3'] -> 2/7 / (4/9 / 3/2 - 2/7) - 3
[244723] ['5/4', '5/4', '5/4', '7/2', '8'] -> 8 * (7/2 - 5/4 / (5/4 + 5/4))
[244724] ['9/7', '8/5', '9/5', '9/5', '5'] -> 5 * (8/5 + 9/5 + 9/5 / 9/7)
[244725] ['1/6', '2/3', '5/6', '5/6', '7'] -> (7 - 5/6 / 5/6) * 2/3 / 1/6
[244726] ['1/9', '2/9', '7/4', '7/4', '2'] -> 2 * ((7/4 - 2/9) / 1/9 - 7/4)
[244727] ['4/9', '5/9', '5/8', '9/7', '7'] -> 9/7 * 7 / (4/9 + 5/9 - 5/8)
[244728] ['1/7', '1', '3/2', '8/3', '7/2'] -> 8/3 * (1 / 1/7 - (3/2 - 7/2))
[244729] ['1/4', '1/3', '2/3', '1', '8/7'] -> 1 / ((2/3 - 1/3) / 8/7 - 1/4)
[244730] ['5/9', '5/9', '7/9', '7/4', '6'] -> 6 / (7/9 * 7/4 - (5/9 + 5/9))
[244731] ['1/9', '2/9', '7/4', '9/5', '2'] -> (2 / (1/9 * (7/4 / 9/5)) - 2/9))
[244732] ['1/6', '2/3', '5/6', '8/9', '7'] -> (7 / 1/6 - 2/3) / (5/6 + 8/9)
[244733] ['4/9', '5/9', '5/8', '7/5', '7'] -> 7 / (4/9 + 5/8 - 5/9 * 7/5)
[244734] ['9/7', '8/5', '9/5', '7/3', '5'] -> 7/3 * (9/5 + 9/7 * (8/5 + 5))
[244735] ['2/9', '1/4', '2/5', '8/9', '6'] -> (2/5 + 6) * (8/9 / 2/9 - 1/4)
[244736] ['7/5', '5/3', '7/4', '7/2', '9'] -> (5/3 + 9) * (7/2 - 7/4 / 7/5)
[244737] ['1/6', '2/3', '5/6', '9/8', '7'] -> 7 / (1/6 - 9/8 + 5/6 / 2/3)
[244738] ['1/8', '2/3', '6/7', '9/2', '9'] -> (2/3 + 9 / (6/7 * 9/2)) / 1/8
[244739] ['2/5', '4/7', '5/6', '7/2', '8'] -> 5/6 * 7/2 * (8 + 2/5 * 4/7)
[244740] ['2/9', '2/5', '4/5', '1', '8/7'] -> (2/5 / (2/9 * (1 / 8/7)) - 4/5))
[244741] ['1/5', '4/7', '5/4', '9/5', '2'] -> 2 + (5/4 + 9/5 / 4/7) / 1/5
[244742] ['1/4', '1/3', '2/3', '1', '9/5'] -> 2/3 / (1/4 + 1/3 - 1 / 9/5)
[244743] ['5/9', '5/9', '7/9', '7/3', '6'] -> 6 * (5/9 / 5/9 + 7/3 / 7/9)
[244744] ['6/7', '5/4', '5/4', '2', '5/2'] -> 2 * 5/2 / (5/4 / 6/7 - 5/4)
[244745] ['2/9', '2/5', '4/5', '1', '7/6'] -> (2/5 + 4/5 / 2/9) / (7/6 - 1)
[244746] ['5/4', '5/4', '9/7', '5/3', '8'] -> (5/4 + 5/3) * 8 * 9/7 / 5/4
[244747] ['1/6', '2/3', '5/6', '9/7', '7'] -> (9/7 + 1/6 + 5/6) * 7 / 2/3
[244748] ['4/9', '5/9', '5/8', '8/5', '7'] -> (8/5 + (4/9 + 7) / 5/9) / 5/8
[244749] ['7/5', '5/3', '9/5', '9/4', '9'] -> 5/3 * 9/4 * (7/5 + 9 / 9/5)
[244750] ['1/9', '2/9', '9/5', '2', '9/4'] -> 2 / (2/9 - 9/4 * 1/9 / 9/5)
[244751] ['1/5', '4/7', '5/4', '2', '7/3'] -> (4/7 + 2) * 7/3 / (1/5 * 5/4)
[244752] ['9/7', '8/5', '9/5', '9/2', '5'] -> 9/2 * (9/5 + 5 / 9/7) - 8/5
[244753] ['1/7', '1', '8/5', '8/5', '9/5'] -> 8/5 / (8/5 / (1 - 1/7) - 9/5)
[244754] ['5/9', '5/9', '7/9', '8/3', '6'] -> (6 + 5/9 / 5/9) * 8/3 / 7/9
[244755] ['1/5', '4/7', '5/4', '2', '5/2'] -> (5/2 + 2 / 4/7) / (1/5 * 5/4)
[244756] ['2/7', '2/7', '4/9', '5/2', '3'] -> (5/2 * 3 - 2/7 / 4/9) / 2/7
[244757] ['5/4', '5/4', '9/7', '9/5', '8'] -> 8 * (5/4 + 9/5 * 5/4 / 9/7)
[244758] ['2/9', '2/5', '4/5', '1', '5/4'] -> (4/5 / (2/9 * (2/5 + 1)) - 5/4))
[244759] ['4/9', '5/9', '5/8', '9/5', '7'] -> 7 / (5/8 * (9/5 - 4/9) - 5/9)
[244760] ['1/9', '2/9', '9/5', '2', '8/3'] -> 9/5 * ((2 - 2/9) / 1/9 - 8/3)
[244761] ['1/4', '1/3', '5/7', '5/6', '1'] -> 1 / (1/3 - 5/6 * 1/4 / 5/7)
[244762] ['1/8', '2/3', '7/8', '9/5', '9'] -> 2/3 / (7/8 / 9 - 1/8 / 9/5)
[244763] ['5/4', '5/4', '9/7', '5/2', '8'] -> (9/7 + 5/4 / 5/4) * (5/2 + 8)
[244764] ['6/7', '5/4', '9/7', '3/2', '2'] -> 9/7 / (5/4 / 2 - 6/7 / 3/2)
[244765] ['2/9', '2/5', '4/5', '1', '3/2'] -> (3/2 + (4/5 + 1) / 2/9) / 2/5
[244766] ['5/4', '5/4', '9/7', '8/3', '8'] -> 9/7 * 8/3 * (8 - 5/4 / 5/4)
[244767] ['4/9', '5/9', '5/8', '7/3', '7'] -> 7/3 * 7 / (5/8 / 5/9 - 4/9)
[244768] ['7/5', '5/3', '7/3', '9/2', '9'] -> 9 + 9/2 * (5/3 + 7/3 / 7/5)
[244769] ['4/9', '5/9', '5/8', '5/2', '7'] -> (7 - (4/9 + 5/9)) * 5/2 / 5/8
[244770] ['2/9', '1/4', '2/5', '7/3', '6'] -> 6 * (1/4 + 7/3 / (2/9 + 2/5))
[244771] ['1/4', '1/3', '5/7', '1', '5/4'] -> (1 + 5/4 / (1/4 * 5/7)) / 1/3
[244772] ['2/9', '2/5', '4/5', '1', '5/3'] -> 4/5 / (2/9 * 2/5) * (1 + 5/3)
[244773] ['1/7', '1', '8/5', '5/3', '5/3'] -> (1 + 8/5 * 5/3) / 1/7 - 5/3
[244774] ['6/7', '5/4', '9/7', '2', '9/4'] -> 9/7 / (9/4 / 2 - 6/7 * 5/4)
[244775] ['1/8', '2/3', '8/9', '6/5', '9'] -> (8/9 - 2/3 / 6/5) * 9 / 1/8
[244776] ['2/9', '1/4', '2/5', '5/2', '6'] -> 6 + 2/5 * 5/2 / (2/9 * 1/4)
[244777] ['1/4', '1/3', '5/7', '1', '4/3'] -> 4/3 / (1/4 - 1/3 / (5/7 + 1))
[244778] ['2/5', '4/7', '6/7', '7/2', '8'] -> (2/5 + 8) * (6/7 + 4/7 * 7/2)
[244779] ['4/9', '5/9', '5/8', '7/2', '7'] -> 7/2 * 7 - 5/8 * 4/9 / 5/9
[244780] ['6/7', '5/4', '9/7', '2', '7/3'] -> 7/3 / (2 / 9/7 - 5/4 / 6/7)
[244781] ['5/4', '5/4', '4/3', '9/5', '8'] -> 8 / (5/4 + 4/3 - 5/4 * 9/5)
[244782] ['1/9', '2/9', '2', '9/2', '9/2'] -> 9/2 + (2 + 9/2) / (1/9 + 2/9)
[244783] ['9/7', '8/5', '7/3', '8/3', '5'] -> 8/5 * 5 / (9/7 * 7/3 - 8/3)
[244784] ['1/5', '4/7', '9/7', '8/5', '2'] -> 9/7 * 8/5 / (4/7 / 2 - 1/5)
[244785] ['2/7', '2/7', '1/2', '8/9', '3'] -> 3 / (2/7 - 2/7 * 1/2 / 8/9)
[244786] ['2/5', '4/7', '6/7', '9/2', '8'] -> 6/7 / (4/7 - 9/2 / (2/5 + 8))
[244787] ['2/9', '1/4', '2/5', '9/2', '6'] -> 9/2 / 2/9 + 6 * 1/4 / 2/5
[244788] ['5/4', '5/4', '4/3', '9/2', '8'] -> 9/2 * (8 / 5/4 - 4/3 / 5/4)
[244789] ['6/7', '5/4', '9/7', '2', '8/3'] -> 2 / (5/4 - 8/3 + 9/7 / 6/7)
[244790] ['2/7', '2/7', '1/2', '9/8', '3'] -> 3 / (2/7 - 9/8 * 2/7 * 1/2)
[244791] ['5/9', '5/9', '4/5', '7/6', '6'] -> 6 / (7/6 / (5/9 + 5/9) - 4/5)
[244792] ['4/9', '5/9', '5/8', '9/2', '7'] -> (7 - (5/9 - 9/2)) / 4/9 - 5/8
[244793] ['1/4', '1/3', '5/7', '1', '5/3'] -> (5/3 / (1/3 * 5/7) - 1) / 1/4
[244794] ['1/5', '4/7', '9/7', '7/4', '2'] -> 2 / (7/4 - 9/7 / (1/5 + 4/7))
[244795] ['5/4', '5/4', '7/5', '7/5', '8'] -> (5/4 + 5/4 / 7/5) * 7/5 * 8
[244796] ['1/6', '2/3', '6/7', '8/5', '7'] -> 6/7 * 7 / (2/3 / 8/5 - 1/6)
[244797] ['1/9', '1/4', '1/4', '3/7', '2'] -> (2 / (3/7 * (1/9 / 1/4)) - 1/4))
[244798] ['5/4', '5/4', '7/5', '3/2', '8'] -> 3/2 * 8 / (5/4 * 7/5 - 5/4)
[244799] ['2/7', '2/7', '1/2', '6/5', '3'] -> (3 / 1/2 - 2/7) * 6/5 / 2/7
[244800] ['6/7', '5/4', '9/7', '2', '9/2'] -> 6/7 / (5/4 + 9/7 + 2 - 9/2)
[244801] ['1/6', '2/3', '6/7', '9/5', '7'] -> (2/3 + 7 * 6/7 / 9/5) / 1/6
[244802] ['1/9', '1/4', '1/4', '1/2', '2'] -> 2 / (1/9 * (1/4 + 1/4 / 1/2))
[244803] ['2/9', '2/5', '4/5', '1', '9/2'] -> (9/2 + 1 / (2/5 + 4/5)) / 2/9
[244804] ['1/7', '1', '8/5', '5/3', '7/3'] -> 8/5 * (1 + 7/3 + 5/3 / 1/7)
[244805] ['1/6', '2/3', '6/7', '9/4', '7'] -> 6/7 / 9/4 * 7 / (1/6 * 2/3)
[244806] ['1/5', '4/7', '9/7', '2', '7/3'] -> (4/7 / (1/5 * 9/7) - (7/3 / 2)))
[244807] ['1/4', '1/3', '5/7', '1', '7/3'] -> (1 + 7/3 * 5/7 / 1/3) / 1/4
[244808] ['2/9', '1/4', '3/7', '5/8', '6'] -> (1/4 + 5/8) * (3/7 + 6 / 2/9)
[244809] ['2/5', '4/7', '7/8', '8/7', '8'] -> 7/8 * 8 * (4/7 + 8/7 / 2/5)
[244810] ['1/8', '2/3', '9/8', '6/5', '9'] -> 9 / ((1/8 + 9/8) / 6/5 - 2/3)
[244811] ['5/4', '5/4', '7/5', '9/4', '8'] -> 5/4 * 8 * (9/4 - (5/4 - 7/5))
[244812] ['1/6', '2/3', '7/8', '7/8', '7'] -> (7 - 7/8 / 7/8) * 2/3 / 1/6
[244813] ['1/4', '1/3', '5/7', '1', '5/2'] -> (1 / (5/2 * (1/4 / 5/7)) - 1/3))
[244814] ['1/7', '1', '8/5', '5/3', '8/3'] -> 5/3 * 8/3 * (1 / 1/7 - 8/5)
[244815] ['4/9', '5/9', '2/3', '6/7', '7'] -> 7 * 4/9 * 6/7 / (2/3 - 5/9)
[244816] ['2/7', '2/7', '1/2', '9/4', '3'] -> 3 / (1/2 * 9/4 - 2/7 / 2/7)
[244817] ['1/4', '1/3', '5/7', '1', '8/3'] -> (8/3 / (5/7 - 1/3) - 1) / 1/4
[244818] ['2/5', '4/7', '7/8', '6/5', '8'] -> 4/7 + (8 + 6/5 / 7/8) / 2/5
[244819] ['5/4', '5/4', '3/2', '7/4', '8'] -> 8 / (5/4 / 3/2 + 5/4 - 7/4)
[244820] ['2/9', '2/5', '5/6', '1', '9/8'] -> (2/5 / (2/9 * (1 / 5/6)) - 9/8))
[244821] ['1/4', '1/3', '5/7', '1', '7/2'] -> (1 / (7/2 * 1/4) - (1/3 * 5/7)))
[244822] ['1/6', '2/3', '7/8', '7/5', '7'] -> 7 / (7/5 * (1/6 + 2/3) - 7/8)
[244823] ['4/9', '5/9', '2/3', '7/6', '7'] -> 7 * 4/9 / 7/6 / (2/3 - 5/9)
[244824] ['7/5', '7/4', '9/5', '9/4', '9'] -> 7/5 / (9/5 - 7/4) - 9 / 9/4
[244825] ['1/8', '2/3', '8/7', '7/6', '9'] -> 9 / (2/3 / (8/7 * /6) - 1/8)
[244826] ['1/7', '1', '8/5', '7/4', '7/4'] -> 8/5 * (1 + 7/4 + 7/4 / 1/7)
[244827] ['1/4', '1/3', '5/7', '1', '9/2'] -> 9/2 / (1/3 - 1/4 / (5/7 + 1))
[244828] ['7/5', '7/4', '9/5', '7/3', '9'] -> (7/3 * 9 - 9/5) * 7/4 / 7/5
[244829] ['5/9', '5/9', '4/5', '9/2', '6'] -> 4/5 * 9/2 * 6 * (5/9 + 5/9)
[244830] ['1/5', '4/7', '4/3', '3/2', '2'] -> 4/3 / (2 - 3/2 / (1/5 + 4/7))
[244831] ['2/7', '2/7', '5/9', '4/7', '3'] -> (2/7 + 2/7 / 3) / (4/7 - 5/9)
[244832] ['2/9', '1/4', '3/7', '7/8', '6'] -> (6 - 1/4 / (3/7 * /8)) / 2/9
[244833] ['9/7', '5/3', '5/3', '9/5', '5'] -> (9/7 + 9/5) * (5 + 5/3 * 5/3)
[244834] ['1/6', '2/3', '7/8', '9/5', '7'] -> (2/3 + 7) / (7/8 / 9/5 - 1/6)
[244835] ['1/4', '1/3', '3/4', '7/9', '1'] -> (1/4 / (7/9 - 3/4) - 1) / 1/3
[244836] ['6/7', '5/4', '4/3', '2', '5/2'] -> 6/7 * (5/2 / (4/3 - 5/4) - 2)
[244837] ['2/5', '4/7', '7/8', '3/2', '8'] -> (3/2 + 8 / 2/5) / 7/8 - 4/7
[244838] ['1/7', '1', '8/5', '7/4', '9/4'] -> 8/5 * (1 - 7/4 + 9/4 / 1/7)
[244839] ['2/9', '2/5', '5/6', '1', '5/4'] -> 2/5 / (2/9 / 5/6 + 1 - 5/4)
[244840] ['2/7', '2/7', '5/9', '5/8', '3'] -> 3 / (5/8 / 5/9 - 2/7 / 2/7)
[244841] ['4/9', '5/9', '2/3', '9/7', '7'] -> (9/7 + 4/9 + 5/9) * 7 / 2/3
[244842] ['1/8', '2/3', '8/7', '4/3', '9'] -> 9 / (4/3 / 8/7 - (1/8 + 2/3))
[244843] ['5/4', '5/4', '7/4', '7/3', '8'] -> 8 / (7/3 / 7/4 - 5/4 / 5/4)
[244844] ['1/7', '1', '8/5', '7/4', '7/3'] -> (1 / (1/7 * 7/4) - (7/3 / 8/5)))
[244845] ['2/5', '4/7', '7/8', '5/3', '8'] -> (8 / ((2/5 * 4/7) * 7/8) * 5/3))
[244846] ['2/9', '1/4', '3/7', '9/8', '6'] -> (9/8 - 1/4) * (3/7 + 6 / 2/9)
[244847] ['5/9', '5/9', '5/6', '9/8', '6'] -> (6 + 5/9 / 5/9) / (9/8 - 5/6)
[244848] ['9/7', '5/3', '5/3', '5/2', '5'] -> (5/3 + 5) / (5/2 / 9/7 - 5/3)
[244849] ['1/8', '2/3', '8/7', '7/5', '9'] -> 9 * (2/3 / (1/8 * 7/5) - 8/7)
[244850] ['5/4', '5/4', '7/4', '8/3', '8'] -> 8 / (5/4 * 8/3 - (5/4 + 7/4))
[244851] ['1/7', '1', '8/5', '7/4', '5/2'] -> (8/5 * 5/2 - 1 / 7/4) / 1/7
[244852] ['4/9', '5/9', '2/3', '8/5', '7'] -> 7 * 8/5 / 4/9 - 2/3 / 5/9
[244853] ['2/5', '4/7', '7/8', '9/5', '8'] -> (9/5 + 8) / 2/5 - 4/7 * 7/8
[244854] ['1/8', '2/3', '8/7', '3/2', '9'] -> 3/2 / (1/8 * 8/7) + 9 / 2/3
[244855] ['2/9', '2/5', '5/6', '1', '7/5'] -> (5/6 + 1 + 7/5 / 2/5) / 2/9
[244856] ['1/4', '1/3', '3/4', '1', '8/5'] -> (3/4 + 1 / 1/3) * 8/5 / 1/4
[244857] ['7/5', '7/4', '9/4', '7/2', '9'] -> 9/4 * 9 + (7/4 + 7/2) / 7/5
[244858] ['6/7', '5/4', '7/5', '3/2', '2'] -> 6/7 / (2 - (5/4 + 3/2) / 7/5)
[244859] ['2/9', '1/4', '3/7', '5/4', '6'] -> (1/4 / 3/7 - (5/4 - 6)) / 2/9
[244860] ['2/5', '4/7', '7/8', '9/4', '8'] -> 9/4 / 7/8 + (4/7 + 8) / 2/5
[244861] ['1/9', '1/4', '1/4', '2', '5/2'] -> 2 - (1/4 + 1/4) + 5/2 / 1/9
[244862] ['1/7', '1', '8/5', '7/4', '7/2'] -> 8/5 * (1 + 7/2 / (1/7 * 7/4))
[244863] ['2/9', '2/5', '5/6', '1', '8/5'] -> (5/6 + 1 / 2/5) * 8/5 / 2/9
[244864] ['1/8', '2/3', '8/7', '5/3', '9'] -> 9 / (2/3 / 8/7 - 1/8 * 5/3)
[244865] ['2/5', '4/7', '7/8', '7/3', '8'] -> (8 / ((2/5 * 4/7) * 7/3) - 7/8))
[244866] ['6/7', '5/4', '7/5', '7/4', '2'] -> 6/7 / (2 * 5/4 / 7/5 - 7/4)
[244867] ['2/9', '1/4', '3/7', '4/3', '6'] -> 6 * (2/9 / 1/4 + 4/3 / 3/7)
[244868] ['5/4', '5/4', '9/5', '7/3', '8'] -> 9/5 * 8 * (5/4 * 7/3 - 5/4)
[244869] ['1/9', '1/4', '1/4', '2', '7/2'] -> 1/4 + 7/2 + (1/4 + 2) / 1/9
[244870] ['1/6', '2/3', '8/9', '9/7', '7'] -> 7 * (1/6 + (8/9 + 9/7) / 2/3)
[244871] ['2/9', '2/5', '5/6', '1', '5/3'] -> (1 + 5/3) / (2/5 * 5/6 - 2/9)
[244872] ['7/5', '7/4', '7/3', '5/2', '9'] -> 7/3 / 5/2 * 9 / (7/4 - 7/5)
[244873] ['9/7', '5/3', '7/4', '9/4', '5'] -> 7/4 * (9/4 * (5/3 + 5) - 9/7)
[244874] ['1/7', '1', '8/5', '9/5', '9/5'] -> (9/5 + 9/5 / 1/7) / (8/5 - 1)
[244875] ['2/9', '2/5', '5/6', '1', '7/4'] -> (1 / (5/6 * (2/5 / 2/9)) - 7/4))
[244876] ['1/8', '2/3', '8/7', '5/2', '9'] -> 8/7 * (5/2 / (1/8 * 2/3) - 9)
[244877] ['1/9', '1/4', '2/7', '3/8', '2'] -> 2 / (2/7 * (1/4 + 1/9 * 3/8))
[244878] ['1/6', '2/3', '8/9', '7/5', '7'] -> (7 / 7/5 - 8/9) / 1/6 - 2/3
[244879] ['1/4', '1/3', '7/9', '1', '8/7'] -> 8/7 / (1/3 / 1/4 - 1 / 7/9)
[244880] ['5/4', '5/4', '9/5', '9/2', '8'] -> (5/4 + 9/2 / 9/5) * 8 / 5/4
[244881] ['7/5', '7/4', '7/3', '8/3', '9'] -> 9 / (7/4 / 7/5 - 7/3 / 8/3)
[244882] ['5/9', '5/9', '5/6', '8/3', '6'] -> 6 * (8/3 + (5/9 + 5/9) / 5/6)
[244883] ['9/7', '5/3', '7/4', '8/3', '5'] -> 7/4 * (8/3 * 5 - (9/7 - 5/3))
[244884] ['1/5', '4/7', '7/5', '5/3', '2'] -> 2 / (1/5 / 4/7 + 7/5 - 5/3)
[244885] ['2/9', '2/5', '5/6', '1', '9/4'] -> (5/6 / 2/5 + 1 + 9/4) / 2/9
[244886] ['2/5', '4/7', '7/8', '9/2', '8'] -> 9/2 - 4/7 * 7/8 + 8 / 2/5
[244887] ['1/4', '1/3', '7/9', '1', '7/6'] -> 1 / (7/6 * 1/4 / 7/9 - 1/3)
[244888] ['1/9', '1/4', '2/7', '2/5', '2'] -> (2 / (2/7 + 2/5) - 1/4) / 1/9
[244889] ['5/4', '5/4', '9/4', '7/2', '8'] -> 9/4 * 8 + 7/2 + 5/4 + 5/4
